"Date","Season","Team","Spread","Team2"
1201,2008,"uc davis",9.5,"brown"
1201,2008,"ohio state",6,"butler"
1201,2008,"middle tenn st",15,"houston"
1201,2008,"tulsa",1.5,"arkansas-little rock"
1201,2008,"loyola chicago",12,"northern iowa"
1201,2008,"illinois-chicago",10.5,"illinois state"
1201,2008,"cincinnati",9,"uab"
1201,2008,"missouri",1.5,"california"
1201,2008,"ball state",14,"valparaiso"
1201,2008,"santa clara",3,"utah state"
1201,2008,"indiana",2,"so illinois"
1201,2008,"california-santa barbara",-10,"loyola marymount"
1201,2008,"western michigan",7.5,"san diego state"
1201,2008,"byu",-12,"portland"
1201,2008,"boise state",2.5,"san francisco"
1201,2008,"nevada",1,"pacific"
1201,2008,"utep",8.5,"unlv"
1201,2008,"north texas",5.5,"new mexico state"
1201,2008,"nccentral",18.5,"cs northridge"
1201,2008,"duquesne",-1,"drake"
1201,2008,"rice",9.5,"la-monroe"
1201,2008,"eastern illinois",13,"iowa"
1201,2008,"duke",-7,"davidson"
1201,2008,"fairfield",27,"georgetown"
1201,2008,"murray state",17,"mississippi st"
1201,2008,"tenn-martin",5.5,"st. peter's"
1201,2008,"western kentucky",-6.5,"northern arizona"
1201,2008,"weber state",19.5,"illinois"
1201,2008,"youngstown state",5,"eastern kentucky"
1201,2008,"the citadel",15.5,"tennessee-chattanooga"
1201,2008,"furman",9,"elon"
1201,2008,"canisius",6.5,"st. bonaventure"
1201,2008,"kent state",-3.5,"nc greensboro"
1201,2008,"appalachian st",2,"georgia southern"
1201,2008,"wright state",4,"marist"
1201,2008,"austin peay",-2,"tennessee tech"
1201,2008,"colorado state",-1.5,"northern colorado"
1201,2008,"se missouri st",17,"bradley"
1201,2008,"morehead state",14,"marshall"
1201,2008,"idaho state",1.5,"idaho"
1201,2008,"alcorn state",10,"texas-pan american"
1201,2008,"pepperdine",6.5,"montana state"
1202,2008,"kansas",-3,"usc"
1202,2008,"arizona state",2,"nebraska"
1202,2008,"auburn",2.5,"geastern washington"
1202,2008,"st. johns",8.5,"miami (fl)"
1202,2008,"stanford",-7.5,"colorado"
1202,2008,"east carolina",22.5,"george mason"
1202,2008,"hawaii",4,"san diego"
1202,2008,"texas a&m",2.5,"arizona"
1202,2008,"maryland",-4.5,"va commonwealth"
1202,2008,"oklahoma",-5,"tcu"
1202,2008,"texas",11,"ucla"
1202,2008,"samford",21.5,"florida state"
1203,2008,"towson state",-1,"delaware"
1203,2008,"uc davis",3,"dartmouth"
